id,asin,title,subtitle,authors,narrators,series_name,series_position,publisher,release_year,language,description,genres,pillar,runtime_min,status,rating,file_path,purchase_date,chunk_text
1,0063097796,"Influence, New and Expanded",The Psychology of Persuasion,Robert B. Cialdini,Robert B. Cialdini,,,HarperAudio,2021,English,In this science-driven guide to persuasion Robert Cialdini applies the psychology of why people say yes to help you succeed in business and life.,"Business & Careers|Relationships, Parenting & Personal Development|Small Business & Entrepreneurship|Management & Leadership|Personal Success|Marketing & Sales|Personal Development",other,1243,finished,,,,"Influence, New and Expanded by Robert B. Cialdini. Narrated by Robert B. Cialdini. In this science-driven guide to persuasion Robert Cialdini applies the psychology of why people say yes to help you succeed in business and life."
2,0593162943,The Willpower Instinct,"How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,Walter Dixon,,,Penguin Audio,2019,English,"Based on Stanford University psychologist Kelly McGonigal's wildly popular course ""The Science of Willpower"", The Willpower Instinct is the first book to explain the science of self-control and how it can be harnessed to improve our health, happiness, and productivity....","Health & Wellness|Relationships, Parenting & Personal Development|Psychology & Mental Health|Psychology|Personal Development|Stress Management|Personal Success",other,500,in_progress,,,,"The Willpower Instinct by Kelly McGonigal. Narrated by Walter Dixon. Based on Stanford University psychologist Kelly McGonigal's wildly popular course ""The Science of Willpower"", The Willpower Instinct is the first book to explain the science of self-control and how it can be harnessed to improve our health, happiness, and productivity...."
3,B0711G6CR4,In the Line of Fire,How to Handle Tough Questions...When It Counts,Jerry Weissman,Ax Norman,,,Audible Studios,2009,English,"Discover how to avoid the defensive, evasive, or contentious answers that have destroyed political careers and ruin credibility....","Business & Careers|Relationships, Parenting & Personal Development|Management & Leadership|Personal Success|Business Communication|Personal Development|Communication & Social Skills",public_speaking,273,not_started,,,,"In the Line of Fire by Jerry Weissman. Narrated by Ax Norman. Discover how to avoid the defensive, evasive, or contentious answers that have destroyed political careers and ruin credibility...."
5,B0711L6ZJC,21 Success Secrets of Self-Made Millionaires,,Brian Tracy,Brian Tracy,,,Brian Tracy International Inc.,2008,English,"This exciting, fast-moving program gives you a step-by-step formula to become a millionaire - starting from wherever you are today....",Business & Careers|Money & Finance|Management & Leadership|Personal Finance,other,72,not_started,,,,"21 Success Secrets of Self-Made Millionaires by Brian Tracy. Narrated by Brian Tracy. This exciting, fast-moving program gives you a step-by-step formula to become a millionaire - starting from wherever you are today...."
6,B071422GB4,The Power of Less,The Fine Art of Limiting Yourself to the Essential...in Business and in Life,Leo Babauta,Fred Stella,,,Brilliance Audio,2009,English,The Power of Less demonstrates how to streamline your life by identifying the essential and eliminating the unnecessary....,"Business & Careers|Relationships, Parenting & Personal Development|Personal Success|Personal Development",other,234,in_progress,,,,The Power of Less by Leo Babauta. Narrated by Fred Stella. The Power of Less demonstrates how to streamline your life by identifying the essential and eliminating the unnecessary....
7,B07148BP7Q,How to Read a Book,The Classic Guide to Intelligent Reading,Mortimer J. Adler; Charles Van Doren,Edward Holland,,,"Blackstone Audio, Inc.",2010,English,"How to Read a Book, first published in 1940, is the best and most successful guide to reading comprehension. Now it has been completely rewritten and updated....","Literature & Fiction|Education & Learning|Relationships, Parenting & Personal Development|Personal Development|Communication & Social Skills",public_speaking,925,in_progress,,,,"How to Read a Book by Mortimer J. Adler; Charles Van Doren. Narrated by Edward Holland. How to Read a Book, first published in 1940, is the best and most successful guide to reading comprehension. Now it has been completely rewritten and updated...."
8,B07193YQP1,The Productivity Project,"Accomplishing More by Managing Your Time, Attention, and Energy",Chris Bailey,Chris Bailey,,,Brilliance Audio,2016,English,"A fresh, personal, and entertaining exploration of a topic that concerns all of us: how to be more productive at work and in every facet of our lives....","Business & Careers|Relationships, Parenting & Personal Development|Management & Leadership|Personal Success|Personal Development",productivity,493,in_progress,,,,"The Productivity Project by Chris Bailey. Narrated by Chris Bailey. A fresh, personal, and entertaining exploration of a topic that concerns all of us: how to be more productive at work and in every facet of our lives...."
9,B07197MLQG,Speak to Win,How to Present with Power in Any Situation,Brian Tracy,Brian Tracy,,,"Gildan Media, LLC",2008,English,"In Speak to Win, Tracy tells you how to master the art of the winning speech - and use it to achieve your most impossible-seeming goals....","Business & Careers|Education & Learning|Relationships, Parenting & Personal Development|Management & Leadership|Personal Success|Personal Development|Communication & Social Skills",public_speaking,313,not_started,,,,"Speak to Win by Brian Tracy. Narrated by Brian Tracy. In Speak to Win, Tracy tells you how to master the art of the winning speech - and use it to achieve your most impossible-seeming goals...."
10,B07197TDWT,The 3 Secrets to Effective Time Investment,Achieve More Success with Less Stress,Elizabeth Grace Saunders,Kelley Hazen,,,McGraw-Hill Education,2015,English,"Time management skills that work! Reboot your entire life in three simple steps. Quick reference guide included with over 30 online tools and 40 done-for-you routines. Is it possible to keep up on life, let alone enjoy it, when you're overloaded and overwhelmed - with work, with errands, with...",Business & Careers|Small Business & Entrepreneurship|Entrepreneurship|Management & Leadership|Personal Success,other,545,not_started,,,,"The 3 Secrets to Effective Time Investment by Elizabeth Grace Saunders. Narrated by Kelley Hazen. Time management skills that work! Reboot your entire life in three simple steps. Quick reference guide included with over 30 online tools and 40 done-for-you routines. Is it possible to keep up on life, let alone enjoy it, when you're overloaded and overwhelmed - with work, with errands, with..."
11,B07198MSCC,Made to Stick,Why Some Ideas Survive and Others Die,Chip Heath; Dan Heath,Charles Kahlenberg,,,Random House Audio,2006,English,"In Made to Stick, Chip and Dan Heath reveal the anatomy of ideas that stick and explain ways to make ideas stickier, such as applying the human scale principle, using the Velcro Theory of Memory, and creating curiosity gaps....","Politics & Social Sciences|Business & Careers|Education & Learning|Health & Wellness|Relationships, Parenting & Personal Development|Sociology|Personal Success|Psychology & Mental Health|Psychology|Personal Development|Communication & Social Skills",public_speaking,517,not_started,,,,"Made to Stick by Chip Heath; Dan Heath. Narrated by Charles Kahlenberg. In Made to Stick, Chip and Dan Heath reveal the anatomy of ideas that stick and explain ways to make ideas stickier, such as applying the human scale principle, using the Velcro Theory of Memory, and creating curiosity gaps...."
